"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "JavaScript JSX", "JavaScript", "Prisma", "JSON", "SCSS", "CSS", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\stepsList.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 4, 106
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\toolsList.tsx", "TypeScript JSX", 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 2, 2, 254
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\usedTechnos.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\warantyList.tsx", "TypeScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 4, 99
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\helpers\capitalize.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\helpers\customTypes.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\helpers\customTypesProjects.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\hooks\useArticles.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\hooks\useShares.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\lib\connect.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6573, 0, 0, 0, 0, 1, 6574
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 4, 16
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\providers\query-provider.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\providers\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\store\ToolsStore.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\tailwind.config.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 208, 69, 29, 4118, 8, 21, 8, 6654, 79, 145, 1, 221, 633, 12194
